row ID,row m/z,row retention time,L_C18_Polar_16_MS2_DF_125_01.mzML Peak area,L_C18_Polar_16_MS2_DF_125_02.mzML Peak area,L_C18_Polar_16_MS2_DF_25_02.mzML Peak area,L_C18_Polar_16_MS2_DF_125_03.mzML Peak area,L_C18_Polar_16_MS2_DF_25_01.mzML Peak area,L_C18_Polar_16_MS2_DF_5_01.mzML Peak area,L_C18_Polar_16_MS2_DF_25_03.mzML Peak area,L_C18_Polar_16_MS2_DF_625_01.mzML Peak area,L_C18_Polar_16_MS2_DF_625_02.mzML Peak area,L_C18_Polar_16_MS2_DF_5_02.mzML Peak area,L_C18_Polar_16_MS2_DF_5_03.mzML Peak area,L_C18_Polar_16_MS2_DF_625_03.mzML Peak area,L_C18_Polar_16_MS2_DF_1_01.mzML Peak area,L_C18_Polar_16_MS2_DF_1_02.mzML Peak area,L_C18_Polar_16_MS2_DF_1_03.mzML Peak area,
205,536.1645935058593,11.264924444444443,763306.8264138661,521671.32587258,1087117.061178199,1572981.0162367937,706467.1573024534,1234429.007405117,1227611.2347157805,91592.48506398618,589459.3953854134,1627881.4633485791,5846825.902830776,544962.6955991602,618808.2493593725,1169424.5984393663,1376935.4889410206,
206,356.35203247070314,9.13094111111111,1105896.5596313255,734795.1196806058,1304171.6517797601,1007946.8996352308,1083006.2763426173,1125251.9576024855,1750002.7911912194,817150.1251491802,468017.00431472727,1696316.2829354496,2291788.89500448,600706.9052451426,1604098.6263798322,2018159.633083893,2145705.6833156366,
207,177.10199483235678,0.45311911111111114,797438.3625312872,822637.1107367746,3708399.0621776623,833343.8494086679,3606464.4410428572,1.2366267617751565E7,4338892.979787702,200218.66294875374,183341.95843279376,1.267128062161324E7,1.2709367248206323E7,208651.86481661082,3.954999552608929E7,3.982293856747351E7,3.360059982922292E7,
208,453.3432661268446,4.243155555555556,769501.1913534224,809456.1827304801,65481.90760155771,900886.1242548416,195425.07912667686,215914.6802498128,195574.2384122038,29605.36758789047,33127.880139648565,191919.30200167416,263188.16082961694,26321.807976561482,3923718.6028229487,3605209.936115332,5156173.024125718,
209,388.25388488769534,3.8406900000000004,1588818.2965753332,1660500.3349036498,1706732.208289623,1516268.6972641384,1761325.2554901405,2570858.8304674462,1493876.5444843757,1662616.8365835177,1582956.4400511528,2361982.9057749268,2195147.9786326266,1508609.2049767459,6854610.120993671,6744406.147013949,5463373.869923746,
210,153.06570248074004,0.5821205555555556,812210.6791565474,764935.2566313801,3999548.9951558034,780249.7876772141,3816883.1979335006,1.486118201544507E7,3183340.4701503334,172414.06858147352,201007.32847099585,1.9157028096220616E7,1.7609233296600472E7,145624.71121787626,6.357558259683334E7,6.71631714500104E7,5.066623159051058E7,
211,218.1385923905806,0.5570544444444445,888167.9359578316,773244.2927527155,4699879.771417562,774550.4120578871,4459872.963881107,2.8169447566137195E7,3700515.9546415415,181701.28784804657,167552.48257658063,2.2504577247126885E7,1.843485195625677E7,214705.43858716494,1.3597957376073036E8,1.3276807370762062E8,1.0242220131949489E8,
212,385.317074877421,3.8494333333333333,880941.191826821,718823.3591638774,145508.98071679578,941184.212710191,125378.10583240284,119241.17566833967,188566.27611421124,0,0,94720.11591503858,262262.4622237711,0,1020701.543335379,1717467.6045156233,2530766.0465613846,
213,813.6824629215706,9.271022222222221,5096335.708427457,16746.700851561247,2084723.323984349,5341999.8658123985,993047.4207029473,227232.4414395407,704421.5529062003,1.1156361440005582E7,7728.890628906878,155807.91202344274,2399506.6819375176,624374.7224374299,148343.92246338443,1505315.2441562302,5108825.601749949,
214,604.3840022786459,9.262762222222223,2109943.7602269524,1568762.0690766287,5933130.114199408,3428834.889530496,857410.5197157606,9247322.20930917,457467.1777812353,5445748.534936767,302352.2205801653,7318908.395162927,8587072.681203138,321115.45944047684,7613045.244636507,3500574.417585935,2699981.9549330347,
215,485.11192169189457,9.042664285714286,1005739.8296454666,15614.776259765742,71256.38106250152,68854.09966992747,1504904.579104718,382403.8596229579,236733.83683760892,639672.846750747,0,135536.45998697984,1462841.0959127697,19707.3284960964,614185.6591056612,782614.4488336899,2575717.016371789,
216,444.30792204621554,8.019955555555557,961430.0329133022,1064253.7045158194,1011568.0379480979,1791269.442796511,583181.1756611,913335.5390159856,2341863.7818324,967236.4070308737,900667.9518513845,624796.6714575641,1525799.6175667904,909603.0866488065,282908.160567904,853437.3931728449,1208219.2076830447,
217,604.3840062313989,10.471757777777777,1861055.672269712,708207.5604959063,1269147.1920282678,1137319.5149259558,1336722.5235580467,263582.76199217746,3416368.9661923395,246725.62513281923,670076.3500840826,1608657.797416285,4693643.173669645,1641564.7236212892,255323.38377346896,290341.81060936546,939919.7964218874,
218,336.3100331624349,8.574322222222225,1179193.615853045,1068947.4468510028,1237906.5261523363,939903.3775450098,1185269.629087435,1360688.9111755951,1207439.44740811,963171.9831058502,935786.5207624611,1375825.4079228023,1435299.9880398142,886752.4748435769,1520301.0617262288,1821614.7208541634,1867216.1835716297,
219,801.6825501844618,12.83772361111111,1049964.8765308855,0,0,1421471.3440952576,247533.09799999883,160571.88971679675,4916928.302028998,46922.45076562516,0,75066.19821875085,2586486.514868667,618976.7958999359,151635.07227148328,43291.75624023443,331955.853953143,
220,815.6971952126243,9.586486666666666,1868351.1621629377,621228.8700256702,6132587.509469478,435909.57989620854,892675.3954157331,540787.8189302498,266639.959667978,1813567.1693065267,1.0047103283418152E7,1400674.6925232569,367960.6349938652,546664.0585226914,254730.61199777445,645461.1140468919,688500.9203281204,
221,266.17203442709786,5.755173333333334,847907.1762935256,822612.6737920367,657713.6623296118,563732.8289202059,585302.554710752,1562291.9741253785,405308.2991175593,256841.7254847455,318264.6107304761,1586518.8742730694,1163576.5114557343,330285.2036251861,1.496145758400519E7,1.5094807368145036E7,1.2612352894156648E7,
222,279.64619864731236,7.345501111111111,617653.3662965106,602450.2971549479,3779921.201331068,560434.9419010454,4555581.340930817,3.335843895510189E7,3176171.0015278994,88880.5457109375,156896.6057382794,2.509907514197592E7,2.782753969715477E7,155005.42931152793,6.858208810374749E7,8.628856055303898E7,6.884690865122761E7,
223,331.2085032145182,4.87686,1536344.2687810585,1691031.1396441574,2041640.5172325182,1315814.816613837,1879641.0204079256,1699384.5055667805,1393225.9475848197,676475.668836683,744529.6508154791,1867462.9278095274,1267751.175513947,857463.021929684,2751078.9752877615,2659410.97307868,1920619.0493603072,
224,813.6827890595937,9.783601111111112,1588577.5419739643,19686.26502733722,103984.85765624467,6823910.0124300625,180672.6104263345,66590.9635213944,9094533.941754483,989525.2729062894,5479.166874999397,133964.42595311842,2.596456819226859E7,7671893.173580301,126953.7341972647,3177988.5786875635,7528708.300312655,
225,476.30605061848956,4.1054233333333325,761414.8825840775,662970.9973917338,746641.5414071853,740186.4231383991,754845.341293515,1179188.391935635,675316.3068517441,693958.9307697221,636597.3233595632,1196176.8382808764,1097926.9916584715,608422.308157366,2890057.5895902626,3167057.5765042966,2613008.698183747,
226,288.159462483724,7.503167777777777,705244.3104081042,496974.2593028242,4923925.959026969,441341.068538502,4461399.320327396,9832989.468701335,2988091.842538497,32751.137955078553,170722.68063783838,1.2435143296085443E7,1.1675109838456491E7,166517.41436253674,1.228981742812199E7,1.0812780526964124E7,2.0669895843861688E7,
227,924.2693216959635,11.764829999999998,878953.1265013089,407415.6639895822,834705.8145961689,1504393.0277632114,655487.2220158272,1763267.5040092813,1024905.7350197185,159981.938482328,425220.46350428154,1457090.0687513093,2461189.205757632,627740.6860851867,1705072.6744518369,2418887.5736787515,2405353.063341509,
228,463.13010965983074,9.039995555555555,909767.6635989562,351984.1895757094,467897.74894494156,1024219.5667851627,978486.421656979,1503677.7451930675,1293367.5629585136,651309.0947070303,210423.0446809832,1278008.9463136187,3462414.662995915,288489.3959175957,5740994.530950734,6043193.639793886,1.2433992632616535E7,
229,663.4528788248698,11.96753,980791.4303093419,624114.0398400407,743653.4130771939,1497599.4432300811,625610.3856437915,1067688.801226931,2222715.7609720966,577940.0598619857,554058.6578850439,969363.5262970603,2405829.3875816483,841497.4309668933,2278246.591808228,2963664.679706284,3345959.7643748093,
230,267.64616505940756,7.517853333333333,715664.6505197126,598109.3275293806,4895536.084989952,447046.83787872054,3920222.4066467737,1.064900542453097E7,2803975.958116248,61913.776124999495,110964.04666016111,1.4290326799844358E7,1.1976315448454626E7,85595.76162016416,2.863290323319788E7,3.0701261061009698E7,1.9287571925904837E7,
231,216.19571228027343,5.462854444444446,599390.2185399926,613363.1260697558,464077.1340085589,627137.6154972103,475932.99560602556,846690.5563331427,409121.87335602945,204262.38997433087,217983.35976115975,837086.831476378,864415.6141480603,195287.57667801285,2251507.579113448,2297953.5280745747,2486835.788565089,
232,256.263026936849,9.031048888888888,702229.3335552501,527669.9712178153,552178.55218136,1471388.1026861952,1284548.5788500742,785771.0484907031,1446056.6637155851,510025.11339973734,517674.5719255939,969889.9468846769,2994744.552965791,739641.0492317667,2177386.562523643,1987951.0274713845,4322507.677028842,
233,297.2414246283637,7.04044888888889,313638.5237721364,520929.5338848588,1091127.7701540256,820977.3725160034,894292.8270409212,2258604.8828696115,3001627.776151406,223398.17258408174,95395.02055469234,680508.3696119839,2208656.4247059217,131883.8342265647,7678748.612562131,6462742.593053581,5431301.644159976,
234,442.337060546875,5.723343333333333,1310572.680939913,1187926.7818337022,1189616.054163324,1168159.9187635742,1232660.7441621986,1810579.4132444249,1248503.2218690487,1162799.4980046542,1289480.633159223,1900190.2885578473,1493524.7327903712,1145876.6566847113,3100746.516652535,3966080.938759293,4073411.1772970785,
235,157.08346796187143,1.1179993333333333,1243260.4775313803,1163657.8833085012,1762631.2467992739,1060831.7603077937,1387986.974083948,3631656.4460644512,816023.0153600813,59355.21865781241,85737.06727499994,3307086.9667780492,1779539.0290860853,184863.84024218912,1.1811920213711295E7,9682504.87669356,5651326.458828419,
236,384.2952829996745,5.3152944444444445,1174686.161963538,1188248.5945773774,1137807.017905872,1054754.6833943438,1099166.0131915903,1404469.7612944557,1113600.266316035,899969.7679239182,921205.046745345,1421993.4215223247,1330113.2913045003,899845.6850332943,2378376.6088950983,2459563.0892293514,2078205.4020987717,
237,465.35454276961514,9.26040888888889,798683.7015377607,100690.79405176046,593896.7678753759,131771.8704433498,771377.9055630603,1416700.3836850682,731514.2715137709,772621.7526728071,10295.569183594711,974843.1537081567,1675199.3277438667,9080.988602538164,2160378.8384784027,1422673.886605643,1503195.7639676514,
238,801.6832319810655,9.571757777777776,2920167.952969497,5356.607841795456,8185.511222654442,202357.22882032022,1587205.6394791428,2466684.608693096,335618.24609378143,355502.476848207,6428.703962889473,26026.81533202857,6289640.1728570815,8812.141292969183,2149296.206890269,144130.57839843287,2752574.031484355,
239,610.4888269748818,10.125304444444444,546297.7003731381,231685.0381582967,285720.73834262975,306448.8840922611,457046.6398524829,250940.28363021452,432827.8836324468,357908.5582738072,81334.31780859512,264628.11096706934,528970.9443634683,159902.73412406916,237287.5159032587,258530.284098775,277899.83374963596,
240,378.3341468556722,9.130657777777778,841654.2845468802,86642.15072948998,671700.53667597,214145.13647005745,747442.0450308647,1264029.1738582596,1240234.986461486,639457.4684728496,7269.701686523718,1537046.8470442672,2882294.1882016473,49976.9421074181,1351084.661241067,1465434.5770825853,1976943.5155632198,
241,500.3787119547526,6.1103588888888885,1277998.525643231,1272129.518538324,1337211.8733947175,1239184.573376673,1312379.881906064,2106751.9185035313,1347081.9981956827,1303919.2225755227,1226666.277694384,1835662.9383160311,1995467.497516748,1193255.4412689754,3712261.75132292,4068835.5755913346,3907441.4029923566,
242,480.1564097086588,9.04167,815640.1670334858,341357.5509101569,233013.7807976129,858140.2221168223,935416.2437710096,1488623.9943061643,1037584.1095317886,625046.2797581849,200884.0235204657,1240776.0123480335,3352760.6572849737,381143.9599042059,5721574.478757104,5674250.805169996,1.213070097392011E7,
243,123.04394990709093,0.4626618888888889,611113.0484616812,658664.4265101934,2987995.5343021955,601388.6740336682,2945280.828542633,9556693.419028386,2936840.5074799107,115412.22186861963,166665.18360849615,9446030.735539246,9228662.648024926,141146.08883606768,2.0191615329883855E7,2.1444706495738532E7,2.2910382805488918E7,
244,580.2918717883881,7.51622,575192.1676638717,320264.6826856381,2825311.259762654,438563.38391908514,3025798.9641417554,8253223.180821432,3555451.262211859,18490.792066405567,106030.17262500217,7709169.633125742,1.1484801204920767E7,82103.46333398714,4877775.205236567,3071055.651767103,5642454.139328163,
245,801.6824486917163,9.787782222222223,2650473.9454189152,8653.228515625817,13023.583888671368,1544303.4740249363,1917821.078518606,862341.9128489554,2.5224093028485134E7,59434.63180878456,10329.043207031393,10376.885304688341,1.4956546103970282E7,20260.16757812703,1571464.3322235765,1427530.5809880965,2683503.4861718668,
246,546.3522651749428,8.147108888888887,751419.980053204,1328038.5931432412,7333552.038101306,1354831.5294497684,5089900.131209275,5.36371357234879E7,6730595.269028912,32995.4579702168,334547.61182180716,3.946312627027954E7,7.844305272936256E7,295418.05222116876,4.080847779243833E7,4.063996957243635E7,1.7677539732703283E8,
247,707.1630320555186,10.573822222222221,420655.8845426021,123244.12032532618,289872.0455920769,458768.937772876,238312.60550613797,345426.9418919234,544829.7017103579,300271.10709357227,90425.1840527341,515478.40550092905,1303246.9015794,102916.02383593992,470932.2402336206,557784.3673963975,469653.25132404204,
248,520.332229378204,4.206304444444445,486606.6885453858,510302.5756886217,520526.37665309024,501393.5626015575,490023.9025349695,843082.997627923,412779.91563448816,410556.50471186877,458722.2661136483,750122.3785639581,811016.4636921324,408562.92046763946,2491080.6764843576,2549072.694503902,2005545.441457927,
249,135.1166024054681,7.038357777777778,1205149.0310591576,572676.026331473,1318021.4539908925,1519297.7322583732,1096274.9255375664,1967770.3880011248,2987334.29467038,77895.84658984106,137177.2409707019,792707.1179992612,2177092.363114963,126819.3932464641,8257694.754998513,7279635.1972291805,6278726.596774187,
250,276.6514705403645,7.520755555555554,546484.8259726512,457067.413618299,5577888.495574593,500252.041384484,4464507.092577587,1.9243684594629332E7,3499193.9382418045,40520.299344727166,61131.72607421772,1.7242659836464863E7,1.946419607368231E7,128727.67691405954,5.072693508677741E7,6.3295553431025624E7,4.724241536321743E7,
251,801.6825231933594,9.942534444444444,1617565.996120721,3421.2488891610074,13023.583888671368,1448215.04224107,526595.9506138329,383066.5203582623,3083860.947945671,79500.67966992773,10329.043207031393,29068.726916016793,7617773.603467256,13250.145153320267,811006.592797801,446730.3727139148,1056117.0463592873,
252,746.6760599309747,10.214887878787879,603619.3881004427,0,82097.08870312573,10203.99773828184,497272.57826153847,173755.93566797106,293666.3081783799,546732.6433536055,0,52317.50360937226,687454.1515695758,0,11913.216984372459,0,80033.11908203448,
253,926.268266805013,11.766535555555555,715024.2023601244,290837.6341867522,541065.8343000326,1140029.1089921969,508116.73968063033,1309133.2072717475,739175.4975744053,61411.00262304708,200790.95883184663,1140099.6557637712,1852881.4828266469,436472.36627342756,1318005.355823306,1879033.2820182315,1831060.5551117873,
254,152.07050994873046,1.3418248888888888,812937.226711682,816983.2476649369,4153304.154372042,802330.7763211868,4006968.5469306163,1.9156854875758734E7,3770237.35084697,54634.754423048274,43690.95815585986,1.8775047119604368E7,1.7491877325997192E7,34911.25686132898,9.355311091923526E7,9.053762046626432E7,8.089241897682753E7,
255,650.438796657986,8.589235555555556,1063025.4174215007,2633051.4708206877,3167757.389787936,5005485.575258935,1077048.9809653936,462016.3905210241,1344431.4867274945,31385.79376758016,2682147.0800690074,766401.6726860132,2104227.245429696,2049480.0911343112,3179658.8093288806,5058149.531838307,1.0412890294053068E7,
256,258.2785771833147,7.064288888888888,871193.1122213574,1427257.0231648083,861988.5626662893,1075368.5929709813,234895.266304691,631859.1792306567,909173.1756117906,158177.49062890565,176234.19731640228,720694.7474635426,878645.045871468,135967.15683593316,3012467.5836815485,3152637.254133175,2244232.822726942,
257,684.2023661295573,12.666913333333333,924249.6290762794,509326.1502806982,1145548.862085006,1539323.7242637794,393074.484103433,754590.6328018943,1423830.7957100116,138904.68699665088,434841.0459255971,807974.0833759287,1727751.663085948,466533.6005290209,953318.6545364755,1538991.3753123228,1340399.305277887,
258,478.29239747789165,7.307873333333334,337177.0972738099,328129.62653180986,3155425.5004429114,527533.7100879814,2916844.090454983,2.2551259166878153E7,3762902.8151002503,39150.546093749006,20836.872882814372,2.389377455316063E7,3.1787296304998543E7,87034.07121484354,6.577549102725543E7,1.3318545630128138E8,1.6200281926989925E8,
259,559.5166870117188,12.355601111111111,1424854.2841123433,2709071.464179693,2025627.8789886597,3844702.0952420123,1972739.1213967616,2859153.8107498204,5094388.570252784,1758737.324410334,3652972.8626289014,1961118.0162877627,3429693.095917251,2136932.4090453745,3718341.188250918,1638286.4020939083,2863346.0915584075,
260,159.02770057072718,0.41650811111111113,378130.32623136183,450028.5257031251,1007827.3376506692,316901.75920435286,824110.084889955,3895480.011425408,534378.700695108,155276.38392519526,89894.62925449226,3630109.694459897,3618855.653830151,117954.63757351215,1.5830251541848434E7,1.5388521136558961E7,1.6932989661421932E7,
261,656.225212845979,10.193155555555554,423518.59923306573,3377.7373740243775,10088.480050781305,0,193255.57426134965,100483.8357615383,97991.78315532404,118729.44545983037,0,89029.67252929501,418558.09885119007,0,31789.907352537673,19393.067832029985,47665.3823593739,
262,424.36284688313805,8.559453333333332,533185.0947330785,453359.1726196032,567957.7139140706,595490.484242376,504478.9569360137,598536.3049880855,550186.1344486534,517490.410939733,536854.6191579113,638080.7612836651,603296.6759613076,338140.41453423,1099514.9043497106,1106413.949252414,940443.0647183844,
263,299.91159254286026,13.104915555555557,2131067.5056395084,464865.101296881,351651.1878675592,139956.31596056424,1144647.8335275303,441358.2823909909,631645.1098067402,1556083.1153649578,511421.3563902544,585875.7327326976,540703.4143470874,212754.25988672022,663157.2714296756,516752.49799404654,172382.51238282866,
264,310.3093421088325,9.830737777777777,400567.21559411456,161074.66279538543,124487.26727250897,489389.72817074787,342894.0187479552,1255556.0260467087,494945.6175386926,17479.1991103508,6875.104467772858,1532741.7962265667,4892852.551426326,9610.601806638988,6735397.298708798,1.0020538953078965E7,1.3060776679657035E7,
265,815.697140282525,9.90007,479843.29798140615,439556.21010789886,862525.906873881,244330.32410155208,242607.4463710982,41336.9319746103,176440.18273250666,376657.12548754085,397592.4808593708,476402.0326067757,222175.51233425646,70473.41128124633,81871.60869549887,679079.939585966,738395.052453136,
266,185.1282248602973,1.349905,656487.0260162578,671914.5356661648,3649268.853488578,676927.0220801895,3667074.636139283,1.7667051329448126E7,3450359.265275821,73673.87273857417,63284.63539824204,1.7379741303380433E7,1.7003257065935038E7,21394.65253847569,9.079061960179396E7,8.781792058807991E7,8.562269899355102E7,
267,537.1485583270038,9.686406666666665,474322.2827991023,81635.57087109357,265274.6209838193,299107.8717526042,345534.9335107879,612972.8552250803,471853.30787202064,373073.88754166657,68331.32576562659,491305.7985094895,1090329.5520256658,123287.45236719039,1458568.8858463648,1474131.2310725502,2062375.2319758765,
268,251.12497846815322,3.776158888888889,436360.19012146525,567849.1318173374,1157897.4008908125,284251.25395963434,879648.534341888,1212174.5190602688,469988.97132849623,1279.2294404297604,1831.4822119140395,1391843.7698314695,633366.7135617578,7079.294951171879,1790414.9359771286,1510560.2534010422,799196.4923005902,
269,815.697398927073,9.044434444444445,929819.1609914487,6963526.502002205,3748069.06802566,1210063.8848545344,227240.07563970398,33247.52492773622,80346.4332358614,357025.78592970973,131626.39279688068,307094.5861640666,158676.7076484375,327952.1687656187,115075.37671093993,259671.38931251076,103548.52503125025,
270,181.0717461762605,1.871631111111111,721495.4914973958,798091.4725057653,4462798.10110454,981003.8449211309,4291195.818648994,2.621914920368657E7,4625475.552990887,40812.311654296485,48847.308619141564,2.6340806283758752E7,2.320160255857122E7,88418.8655683585,1.4533585920819655E8,1.4295709204520437E8,1.2768667149620034E8,
271,212.16427968343098,5.3744233333333336,322869.62705617293,333379.37786644045,300144.188263953,323603.54318526323,287126.0245736604,510021.9196953106,233784.90437797655,278668.19606658845,356749.3248521242,524521.6775933731,499697.6868212405,334799.38436793076,1430079.9562533337,1790330.1811398983,1785405.6283822653,
272,542.3209055356626,7.343757777777777,291186.3853132493,267698.1200022334,2377233.28305615,427867.4611283497,1700764.35552606,5.9397093001062825E7,3290707.296577937,52095.45833886767,200905.2865742183,5.126015574135998E7,7.204805756555136E7,54168.55845117156,7.787973461185762E7,1.0914099145413126E8,1.2835114932141663E8,
273,395.21993280430036,9.527758888888888,445102.49590997264,105335.85366503944,202124.30996558987,214614.38288858876,501300.6814272767,640669.3712678554,803920.2250078251,268223.9258496029,3857.7575214842263,803381.9852326938,2632133.2573520932,38375.64910156261,1359645.5152522412,2098108.957373874,3548387.9926745035,
274,372.1584175715371,4.783831111111112,336064.89035658276,292830.23196949123,2351289.519097283,327709.5363113847,2382590.1736765266,1.2812595015398644E7,2373850.142807085,23219.58595605472,25109.927220460348,1.2361067718689954E7,1.2789797025471201E7,32666.12299902199,5.504725846742182E7,5.054937784763287E7,4.995590116115664E7,
275,482.323473276209,8.100986666666667,335730.61502398865,200663.070800777,1790834.4090375598,453315.89213355305,2200029.1861707885,1.0019473585966237E7,2603390.6913415343,11423.207123047148,22354.14857324339,1.053758022005272E7,1.4229827198958592E7,9424.386562499927,4.718968246106698E7,5.589144802633855E7,8.970386709963396E7,
276,494.32355923546686,7.118643333333332,346961.37595424365,244221.41863206617,2623543.1265275334,441260.35114340973,2863398.880982144,2.1733797641817704E7,3675169.576337054,38845.754951171504,66038.82347461036,2.4162547658814393E7,2.9775766897557132E7,84478.97843457176,1.7552159152645868E8,2.384441226352232E8,2.1764436541716737E8,
277,297.16469062926274,7.522093333333332,227169.61295739733,140790.46021094086,3137549.5379198333,38775.933445312825,2541399.146455742,1.4161614115828356E7,2139905.5101253646,6173.212962890882,135072.94476513864,1.2423278083814576E7,1.0774492632392518E7,68898.31934765854,3.8143661928372346E7,4.4675371532677405E7,3.258526862282007E7,
278,412.2091501871745,4.1134,730562.8036677835,889701.3788619762,1136395.1260087441,1241021.8801510383,1215532.3791977246,1843546.236029201,1045911.810620903,1601202.6940658551,1718993.6962412521,1865119.6017909192,2427009.165433218,1793939.9101525247,3543217.4738444947,5185011.683529781,6921258.230915541,
279,265.117682882642,3.290665555555556,438042.0856175593,432561.99348828185,2374346.7763753715,462832.25480375503,2622137.607423735,1.195894130871483E7,2740528.7440429716,90513.92541992082,67552.26828320418,1.1798216438319953E7,1.3323243695329214E7,17040.47822070409,5.643729380344659E7,6.033349122995085E7,6.912617789825869E7,
280,350.3262583414714,8.793489999999998,653362.0809988889,159874.5884724653,1185014.9408106417,860378.1594389955,1410138.7673870795,2166798.5343761095,928480.4169587062,926476.5493937827,422414.59048529825,2167015.551569191,1967350.3580511569,94170.87113374534,3523359.7958584526,1799971.2997384814,1815941.4080837178,
281,475.3250165700155,4.241381111111111,311011.8221943886,370501.25903813593,175402.24087060447,165866.15414992772,141200.17507959032,139965.08104799042,30798.16721386872,4259.351785887999,14961.97260791003,123600.32759821575,47516.62193554519,41566.59302929697,3532136.225720267,2817479.2079598242,2104270.376566953,
282,425.2141438019581,8.755709999999999,265507.32881826453,162342.43419865167,601413.2311640658,221459.1131078953,463880.0925976545,502464.53123252303,608722.8030643526,134701.21463336263,42650.17671387005,835548.9964823163,1391432.762398973,18320.165933592598,799710.9262909202,748415.2759269071,1038106.0471517772,
283,616.4626708984375,6.816834444444445,801874.1316013796,661968.9931036102,705793.281356769,549822.6279940492,850718.7711986603,1083450.0241871306,854031.2626266694,725958.9552950144,765882.9313203121,1043428.3987797596,835270.0691796857,728777.1016722457,1927857.6091499268,1680812.5479438256,2239459.965670021,
284,209.0918114619785,0.76453,335824.8666272694,330732.77814170416,2271911.165649815,405001.17046553164,2264424.529587444,6048723.411036676,1966369.579388989,146214.92167495118,113934.15577250966,1.1215695155377625E7,9334929.935561346,90430.33225498014,5.812134027810398E7,5.635022499606759E7,5.233879135238935E7,
285,286.1429307846796,6.806677777777778,428475.36891982914,472769.27696819336,3309867.273589842,509353.54386979045,3142867.342830353,1.7745321812935658E7,3815738.5775055713,57864.36433984267,31814.97081738119,1.7276825331382085E7,1.9290038607379332E7,38620.98266015678,9.519542971684745E7,9.413708823691821E7,7.997316593471849E7,
286,307.0849013846261,3.8476522222222216,344953.6330602675,336262.2737846005,2026405.5489933041,421809.63406361477,2052684.667355092,9413809.937082388,1995437.3971744787,165681.34258105422,66589.57269921794,9541904.405098218,1.0237908808195116E7,139024.4547182624,4.510011355974906E7,5.4602767543655105E7,4.94792981514677E7,
287,147.04384050016048,0.4646713333333333,303728.5033630208,346284.9858547987,1873325.5612626313,355478.7461222658,1774703.9135751107,4724299.833963748,1904885.5357150293,20013.981775585547,99667.55577636728,5851070.224398342,5918741.055185044,35958.81533457042,1.1828632944247244E7,1.069595353656294E7,1.33698068574436E7,
288,286.20050442628184,4.707428888888888,291266.2865223252,384427.1364082926,1921174.7924021627,370811.9267730661,1849521.3460303133,8619092.559678711,1872291.7326912228,81417.71110156237,132822.88454492253,8509588.981134692,8853448.94114133,26744.80084765599,3.753335517642097E7,4.572900033829335E7,3.9170830542573065E7,
289,998.2876485188802,12.487961111111114,403274.6294665241,168186.87058006888,465783.88375204033,524223.8500267879,52325.002660343554,1001340.7533645942,363249.2399263347,48509.12425781343,53033.57655468799,770134.3602858967,1491986.2961921485,157626.13886644455,1099985.513941774,1435498.3125565427,1671750.8351556982,
290,425.2867698506812,9.373099999999997,315066.572952201,17935.86760156192,98147.40980078268,15173.096265625656,172350.47544977913,616529.2700247449,37731.24116699425,269202.7377568838,3130.0821875006977,315965.94888728566,345913.533881327,5873.566249999353,2171632.6138246194,1993242.4809274864,1829532.0916268139,
291,699.6026529778375,10.294477777777777,242063.00606677087,105282.62701952312,293611.9372382784,195969.38884095353,277277.1615985885,142277.7568407698,722705.0786320737,162810.4280479872,27383.590410157027,322187.43395759223,763287.9542762478,11731.240056154345,236584.35213330702,137544.78936327432,399739.3114023461,
292,286.22819950164313,9.166731666666667,288398.9273026482,0,83744.67614941733,0,1814131.223141182,4915428.337533076,101880.03120517673,0,0,1486813.7446168053,3208942.768999442,0,5363730.576345448,4462009.918999608,7374683.694086268,
293,587.5480611165365,10.856227777777775,945330.6510107943,1465318.7228982504,1293860.9517408821,2056126.8136121738,307143.0690290259,629979.9920587899,2124330.157210187,898735.5984620482,2698969.880564924,1567384.4064218644,2206408.9052762156,1920231.1433617966,1707064.7242395778,2321463.3101553135,1808838.9574920016,
294,389.1114537758802,8.275891111111111,337811.47691834345,119441.74657440292,398046.59632700216,449357.96670311585,310479.23157440533,209167.66330599145,823992.6529602011,68633.38825097973,117345.09089649076,357680.7624635438,656219.419796128,40294.117369144114,728529.401185825,777224.6768277211,2066890.5150664307,
295,299.9115498860677,13.26087111111111,182191.35228069223,217886.42924051016,124655.46619773828,135136.31064471795,539167.207620915,546854.0847699072,168656.67511718863,867857.3484358242,178101.5124308079,478640.68712016655,374761.9858301698,144829.44272433122,85797.87205003673,260442.68768358722,172382.51238282866,
296,362.24112757930044,3.850559722222222,309196.7507672982,384412.3538195677,98949.83564360128,171121.69701301935,65383.9065585931,111429.09162258082,12909.460806152076,0,0,125195.4183312873,64789.364529296035,0,3192474.8300059526,3387155.850452382,2654971.358455353,
297,764.573987853035,11.969600000000002,285339.4733018947,54467.41748102844,196656.8763125054,132303.18880860135,82088.01297265191,329335.02516926854,34877.21488280904,66057.16280078274,108195.3764550811,71588.45575521256,51584.948800783866,39104.158124999645,734192.9969103391,585281.346014885,728806.2756251841,
298,665.6547932942708,11.922220000000001,605101.0699538657,630090.9510597077,400421.3583697962,765433.0113809633,468419.66732756834,354160.17773103,744742.0518444972,510175.40959896357,717591.5381119705,363959.00846745935,908015.0823999306,727575.0605247394,429469.31984114705,544198.1125466853,518104.19479148235,
